[18/Jul/2021:21:29:17 +0000] - 304 304 - GET http pihole.bapuhome.net "/admin/style/vendor/daterangepicker.min.css?v=1619032969" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/index.php?login"
[18/Jul/2021:21:29:17 +0000] - 304 304 - GET http pihole.bapuhome.net "/admin/style/vendor/select2.min.css?v=1619032969" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/index.php?login"
[18/Jul/2021:21:29:17 +0000] - 304 304 - GET http pihole.bapuhome.net "/admin/style/pi-hole.css?v=1619032969" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/index.php?login"
[18/Jul/2021:21:29:17 +0000] - 304 304 - GET http pihole.bapuhome.net "/admin/style/themes/default-dark.css?v=1619032969" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/index.php?login"
[18/Jul/2021:21:29:17 +0000] - 304 304 - GET http pihole.bapuhome.net "/admin/style/vendor/bootstrap/js/bootstrap.min.js?v=1619032969" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/index.php?login"
[18/Jul/2021:21:29:17 +0000] - 304 304 - GET http pihole.bapuhome.net "/admin/scripts/vendor/jquery.min.js?v=1619032969" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/index.php?login"
[18/Jul/2021:21:29:17 +0000] - 304 304 - GET http pihole.bapuhome.net "/admin/scripts/vendor/datatables.min.js?v=1619032969" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/index.php?login"
[18/Jul/2021:21:29:17 +0000] - 304 304 - GET http pihole.bapuhome.net "/admin/scripts/vendor/adminlte.min.js?v=1619032969" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/index.php?login"
[18/Jul/2021:21:29:17 +0000] - 304 304 - GET http pihole.bapuhome.net "/admin/scripts/vendor/moment.min.js?v=1619032969" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/index.php?login"
[18/Jul/2021:21:29:17 +0000] - 304 304 - GET http pihole.bapuhome.net "/admin/scripts/vendor/bootstrap-notify.min.js?v=1619032969" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/index.php?login"
[18/Jul/2021:21:29:17 +0000] - 304 304 - GET http pihole.bapuhome.net "/admin/scripts/vendor/Chart.min.js?v=1619032969" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/index.php?login"
[18/Jul/2021:21:29:17 +0000] - 304 304 - GET http pihole.bapuhome.net "/admin/scripts/vendor/select2.min.js?v=1619032969" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/index.php?login"
[18/Jul/2021:21:29:17 +0000] - 304 304 - GET http pihole.bapuhome.net "/admin/style/vendor/font-awesome/js/all.min.js?v=1619032969" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/index.php?login"
[18/Jul/2021:21:29:17 +0000] - 304 304 - GET http pihole.bapuhome.net "/admin/scripts/pi-hole/js/footer.js?v=1619032969" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/index.php?login"
[18/Jul/2021:21:29:17 +0000] - 304 304 - GET http pihole.bapuhome.net "/admin/img/logo.svg" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/index.php?login"
[18/Jul/2021:21:29:17 +0000] - 200 200 - GET http pihole.bapuhome.net "/admin/img/donate.gif" [Client 192.168.88.20] [Length 3592] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/index.php?login"
[18/Jul/2021:21:29:17 +0000] - 304 304 - GET http pihole.bapuhome.net "/admin/img/boxed-bg-dark.jpg" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/style/themes/default-dark.css?v=1619032969"
[18/Jul/2021:21:29:17 +0000] - 304 304 - GET http pihole.bapuhome.net "/admin/style/vendor/SourceSansPro/source-sans-pro-v13-latin-regular.woff2" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/style/vendor/SourceSansPro/SourceSansPro.css?v=1619032969"
[18/Jul/2021:21:29:17 +0000] - 304 304 - GET http pihole.bapuhome.net "/admin/style/vendor/SourceSansPro/source-sans-pro-v13-latin-700.woff2" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/style/vendor/SourceSansPro/SourceSansPro.css?v=1619032969"
[18/Jul/2021:21:29:17 +0000] - 304 304 - GET http pihole.bapuhome.net "/admin/style/vendor/SourceSansPro/source-sans-pro-v13-latin-italic.woff2" [Client 192.168.88.20] [Length 0] [Gzip -] [Sent-to 192.168.88.2] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "http://pihole.bapuhome.net/admin/style/vendor/SourceSansPro/SourceSansPro.css?v=1619032969"
