[11/Jul/2021:09:50:20 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/images/favicon.ico" [Client 192.168.88.20] [Length 745] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:24 +0000] - 200 200 - POST http torrent.bapuhome.net "/transmission/rpc" [Client 192.168.88.20] [Length 76] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:27 +0000] - 200 200 - POST http torrent.bapuhome.net "/transmission/rpc" [Client 192.168.88.20] [Length 739] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:30 +0000] - 200 200 - POST http torrent.bapuhome.net "/transmission/rpc" [Client 192.168.88.20] [Length 76] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:36 +0000] - 200 200 - POST http torrent.bapuhome.net "/transmission/rpc" [Client 192.168.88.20] [Length 76] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:36 +0000] - 200 200 - POST http torrent.bapuhome.net "/transmission/rpc" [Client 192.168.88.20] [Length 739] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:42 +0000] - 200 200 - POST http torrent.bapuhome.net "/transmission/rpc" [Client 192.168.88.20] [Length 76] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:45 +0000] - 200 200 - POST http torrent.bapuhome.net "/transmission/rpc" [Client 192.168.88.20] [Length 739] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:48 +0000] - 200 200 - POST http torrent.bapuhome.net "/transmission/rpc" [Client 192.168.88.20] [Length 76] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:54 +0000] - 200 200 - POST http torrent.bapuhome.net "/transmission/rpc" [Client 192.168.88.20] [Length 739] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:54 +0000] - 200 200 - POST http torrent.bapuhome.net "/transmission/rpc" [Client 192.168.88.20] [Length 76] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:51:00 +0000] - 200 200 - POST http torrent.bapuhome.net "/transmission/rpc" [Client 192.168.88.20] [Length 76] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
